"","station_id","station_name","lon","lat"
"1",131543,"Landungsbrücke/Hafentor",9.9723,53.5457
"2",131546,"Fischmarkt/Breite Straße",9.95088,53.5462
"3",131547,"Paulinenplatz/Wohlwillstraße",9.96246,53.5542
"4",131639,"Burgstraße/Hammer Landstraße",10.041298,53.555693
"5",131640,"Innocentiapark/Oberstraße",9.98211,53.577248
"6",131641,"Goebenstraße/Eppendorfer Weg",9.963063,53.577579
"7",131642,"Osterstraße/Bismarckstraße",9.962395,53.573183
"8",131643,"Christuskirche/Fruchtallee",9.96309,53.5695
"9",131644,"Eimsbütteler Straße/Waterloostraße",9.9534,53.5662
"10",131645,"Ottenser Marktplatz/Museumsstraße",9.934844,53.547905
"11",131646,"Bahnhof Altona Ost/Max-Brauer-Allee",9.936005,53.552121
"12",131647,"Kurze Mühren/Spitalerstraße",10.00415,53.552611
"13",131648,"Schulterblatt/Eifflerstraße",9.96099,53.562709
"14",131649,"Große Bergstraße / Jessenstraße",9.94576,53.5512
"15",131650,"Königstraße / Struenseestraße",9.94241,53.5471
"16",131651,"Kurt-Schumacher-Allee / Nagelsweg",10.016,53.5517
"17",131652,"Berliner Tor / Berlinertordamm",10.0246,53.5533
"18",131653,"Zentralbibliothek / Münzstraße",10.008849,53.550332
"19",131654,"Steinstraße / Deichtorplatz",10.005325,53.548562
"20",131872,"Hauptbahnhof West / Glockengießer Wall",10.004553,53.553676
"21",131873,"Hauptbahnhof Ost / Hachmannplatz",10.007652,53.554307
"22",131875,"Jacobikirche / Steinstraße",10.0015,53.5503
"23",131877,"Meßberg / Willy-Brandt-Straße",9.998774,53.547805
"24",131879,"Jungfernstieg / Ballindamm",9.995501,53.552244
"25",131880,"Mönckebergstraße / Rosenstraße",9.99714,53.550722
"26",131881,"Universität / Schlüterstraße",9.986076,53.566972
"27",131882,"Universität / Moorweidenstraße",9.987659,53.563755
"28",131883,"Bahnhof Dammtor Nord // Theodor-Heuss-Platz",9.99043,53.5614
"29",131884,"Gänsemarkt / Büschstraße",9.990091,53.556282
"30",131885,"Rödingsmarkt / Großer Burstah",9.98695,53.5483
"31",131887,"Enckeplatz / Hütten",9.97695,53.5524
"32",131888,"Messehallen / Marktstraße",9.975346,53.558518
"33",131889,"Bahnhof Altona West / Busbahnhof",9.93387,53.5518
